,Product_Url,Product_Name,Rat,Price,Rating,Specification,Offer
20,https://www.flipkart.com//motorola-g52-metallic-white-128-gb/p/itm469efad765b98?pid=MOBGAKFYDDSNZGR8&lid=LSTMOBGAKFYDDSNZGR8W6QBUV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGAKFYDDSNZGR8.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"MOTOROLA g52 (Metallic White, 128 GB)",4.2,"₹12,999","21,256 Ratings & 2,659 Reviews",6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,35% off
21,https://www.flipkart.com//apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73HRLIX56&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGHWFHABH3G73H.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"APPLE iPhone 14 (Starlight, 128 GB)",4.6,"₹73,990","1,034 Ratings & 69 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",7% off
22,https://www.flipkart.com//infinix-hot-20-play-racing-black-64-gb/p/itm1e6903eb0203e?pid=MOBGK23WGFWJHRQD&lid=LSTMOBGK23WGFWJHRQD90DLPU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGK23WGFWJHRQD.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"Infinix HOT 20 Play (Racing Black, 64 GB)",4.4,"₹8,199",637 Ratings & 59 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13Mp + AI Lens | 8MP Front Camera6000 mAh Li-ion Polymer BatteryMediaTek G37 Processor1 Year on Handset and 6 Months on Accessories,31% off
23,https://www.flipkart.com//infinix-hot-20-play-aurora-green-64-gb/p/itm1e6903eb0203e?pid=MOBGK23WWFC8SUZZ&lid=LSTMOBGK23WWFC8SUZZTMFJG8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGK23WWFC8SUZZ.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"Infinix HOT 20 Play (Aurora Green, 64 GB)",4.4,"₹8,199",637 Ratings & 59 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13Mp + AI Lens | 8MP Front Camera6000 mAh Li-ion Polymer BatteryMediaTek G37 Processor1 Year on Handset and 6 Months on Accessories,31% off
24,https://www.flipkart.com//vivo-t1x-space-blue-128-gb/p/itm9e8207e7825a9?pid=MOBGG56ZYSVXEAHC&lid=LSTMOBGG56ZYSVXEAHCCUPIEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_49&otracker=browse&fm=organic&iid=5b20e514-cea3-4a7d-8811-20faf6a535da.MOBGG56ZYSVXEAHC.SEARCH&ppt=None&ppn=None&ssid=uyse42f4vk0000001673525562025,"vivo T1X (Space Blue, 128 GB)",4.5,"₹12,999","68,386 Ratings & 3,880 Reviews",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,27% off
25,https://www.flipkart.com//vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYGW5NGXVH&lid=LSTMOBGB9TYGW5NGXVHWMF5TV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_50&otracker=browse&fm=organic&iid=5b20e514-cea3-4a7d-8811-20faf6a535da.MOBGB9TYGW5NGXVH.SEARCH&ppt=None&ppn=None&ssid=uyse42f4vk0000001673525562025,"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.3,"₹15,990","59,607 Ratings & 4,787 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryTurbo Processor Snapdragon 695 Processor1 Year Handset and 6 Months Accessories,20% off
26,https://www.flipkart.com//poco-m4-5g-power-black-128-gb/p/itm967111aabdc3f?pid=MOBGDRGPQQGTRXU9&lid=LSTMOBGDRGPQQGTRXU9JU154S&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_51&otracker=browse&fm=organic&iid=5b20e514-cea3-4a7d-8811-20faf6a535da.MOBGDRGPQQGTRXU9.SEARCH&ppt=None&ppn=None&ssid=uyse42f4vk0000001673525562025,"POCO M4 5G (Power Black, 128 GB)",4.2,"₹13,999","22,778 Ratings & 1,890 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion Polymer BatteryMediatek Dimensity 700 Processor1 Year Warranty for Handset and 6 Months for Accessories,26% off
27,https://www.flipkart.com//vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYFQR3FQZT&lid=LSTMOBGB9TYFQR3FQZTTIVBCR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_52&otracker=browse&fm=organic&iid=5b20e514-cea3-4a7d-8811-20faf6a535da.MOBGB9TYFQR3FQZT.SEARCH&ppt=None&ppn=None&ssid=uyse42f4vk0000001673525562025,"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.4,"₹16,990","1,58,204 Ratings & 12,538 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 695 Processor1 Year Handset and 6 Months Accessories,19% off
28,https://www.flipkart.com//samsung-galaxy-s21-fe-5g-graphite-128-gb/p/itm7be0f72fff180?pid=MOBGBPFZSPRG8GSU&lid=LSTMOBGBPFZSPRG8GSUYZCRY0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_53&otracker=browse&fm=organic&iid=5b20e514-cea3-4a7d-8811-20faf6a535da.MOBGBPFZSPRG8GSU.SEARCH&ppt=None&ppn=None&ssid=uyse42f4vk0000001673525562025,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",4.4,"₹34,999","29,170 Ratings & 3,007 Reviews",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,53% off
29,https://www.flipkart.com//apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YSGQY4O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_54&otracker=browse&fm=organic&iid=5b20e514-cea3-4a7d-8811-20faf6a535da.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=None&ppn=None&ssid=uyse42f4vk0000001673525562025,"APPLE iPhone 13 (Pink, 128 GB)",4.7,"₹60,999","1,77,959 Ratings & 9,804 Reviews",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,12% off
